timestamps,block,episode,init_pos,human_action,agent_action,prev_x,prev_y,next_x,next_y,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.760437531178000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.639787643255470606e-01,3.368751003334683469e-01,-3.323409625513032983e-01,1.632881884026924912e-01,9.894746578428348371e-01,9.411380970024781911e-01,5.000000000000000000e-01,5.100000000000000089e-01,9.393105025902490079e-02,2.268882752747349019e-02,5.040000000000000036e-01,5.100000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437531393000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.323409625513032983e-01,1.632881884026924912e-01,-3.282634079067075494e-01,1.640986877911455033e-01,9.393105025902490079e-02,2.268882752747349019e-02,5.000000000000000000e-01,5.100000000000000089e-01,1.156201707090022957e-01,2.697718408013492775e-02,6.039999999999999813e-01,5.100000000000000089e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.760437531598000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,2.000000000000000000e+00,-3.279345234287042721e-01,1.641310969550265619e-01,-3.230832127165094714e-01,1.658959264398520150e-01,1.173695562302963236e-01,2.714866113770666653e-02,4.000000000000000777e-01,5.100000000000000089e-01,1.431744004440984597e-01,3.648638327964028039e-02,5.080000000000000071e-01,5.460000000000000409e-01,2.000000000000000042e-02,-2.000000000000000111e-01
1.760437531801000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,-3.230832127165094714e-01,1.658959264398520150e-01,-3.186873989338137036e-01,1.714696371985836576e-01,1.431744004440984597e-01,3.648638327964028039e-02,2.999999999999999889e-01,5.460000000000000409e-01,1.665563886499270008e-01,6.597691639462252566e-02,6.079999999999999849e-01,5.959999999999999742e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.760437532004000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.186873989338137036e-01,1.714696371985836576e-01,-3.097216088326050221e-01,1.806619488645119509e-01,1.665563886499270008e-01,6.597691639462252566e-02,1.959999999999997300e-01,5.959999999999999742e-01,2.142467615286965943e-01,1.146134860556187879e-01,6.079999999999999849e-01,6.140000000000001013e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437532209000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.097216088326050221e-01,1.806619488645119509e-01,-3.048747261163156086e-01,1.897935329769827595e-01,2.142467615286965943e-01,1.146134860556187879e-01,9.600000000000025180e-02,6.140000000000001013e-01,2.400280525727892245e-01,1.629287459099617030e-01,5.080000000000000071e-01,6.140000000000001013e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437532413000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.048747261163156086e-01,1.897935329769827595e-01,-3.042474315367762472e-01,1.989264243627117401e-01,2.400280525727892245e-01,1.629287459099617030e-01,-7.450580569168252509e-09,6.140000000000001013e-01,2.433647258682113679e-01,2.112509225540303848e-01,5.080000000000000071e-01,6.140000000000001013e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437532616000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.042224836124369780e-01,1.992917559815218231e-01,-3.035991356958457343e-01,2.084254404951636774e-01,2.434974275934202459e-01,2.131838940821260686e-01,9.999999254941882576e-02,6.140000000000001013e-01,2.468131080008204858e-01,2.615102671701782233e-01,5.080000000000000071e-01,6.140000000000001013e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760437532819000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.035991356958457343e-01,2.084254404951636774e-01,-3.067478129021141142e-01,2.175601512298926676e-01,2.468131080008204858e-01,2.615102671701782233e-01,2.039999925494183630e-01,6.140000000000001013e-01,2.300648249887546348e-01,3.098420699994321459e-01,4.080000000000000293e-01,6.140000000000001013e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.760437533022000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.067478129021141142e-01,2.175601512298926676e-01,-3.147357373734899766e-01,2.270613276229314081e-01,2.300648249887546348e-01,3.098420699994321459e-01,5.000000000000000000e-01,6.140000000000001013e-01,1.875758650346276979e-01,3.601128445657746924e-01,4.040000000000000258e-01,6.140000000000001013e-01,0.000000000000000000e+00,0.000000000000000000e+00
