timestamps,block,episode,init_pos,human_action,agent_action,prev_x,prev_y,next_x,next_y,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.759833756412000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.629103593695677143e-01,2.673147016294807332e-01,-3.326586336595617199e-01,1.631029621335394197e-01,9.951576629278313657e-01,5.730936594152420405e-01,5.000000000000000000e-01,5.080000000000000071e-01,9.224131032148011333e-02,2.170879435735141583e-02,5.000000000000000000e-01,5.080000000000000071e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.759833756624000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.326593841365917403e-01,1.631289875433584446e-01,-3.326781249865545242e-01,1.637796346752132537e-01,9.223731842238425127e-02,2.184649493840445933e-02,4.000000000000000777e-01,5.080000000000000071e-01,9.213763305024179340e-02,2.528907235562567052e-02,5.000000000000000000e-01,5.080000000000000071e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.759833756830000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,-3.326781249865545242e-01,1.637796346752132537e-01,-3.289446519479245490e-01,1.660085261184912064e-01,9.213763305024179340e-02,2.528907235562567052e-02,2.999999999999999889e-01,5.080000000000000071e-01,1.119965321918905965e-01,3.708214877508574092e-02,5.999999999999999778e-01,5.540000000000000480e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.759833757036000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,-3.286285768017785935e-01,1.661801311964197503e-01,-3.203291557610439821e-01,1.725478198525365880e-01,1.136777829692627029e-01,3.799011215036904310e-02,1.959999999999997300e-01,5.540000000000000480e-01,1.578236395689149030e-01,7.168158652135760145e-02,6.039999999999999813e-01,6.059999999999999831e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.759833757244000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,-3.203291557610439821e-01,1.725478198525365880e-01,-3.116930393727419535e-01,1.834099612825463022e-01,1.578236395689149030e-01,7.168158652135760145e-02,1.959999999999997300e-01,6.059999999999999831e-01,2.037604288683937670e-01,1.291532342991867921e-01,6.039999999999999813e-01,6.560000000000001386e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.759833757452000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.116930393727419535e-01,1.834099612825463022e-01,-3.033881009694174846e-01,1.966302263560782970e-01,2.037604288683937670e-01,1.291532342991867921e-01,9.600000000000025180e-02,6.580000000000002514e-01,2.479356331413962722e-01,1.991017267517370404e-01,6.039999999999999813e-01,6.660000000000001474e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.759833757659000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-3.033881009694174846e-01,1.966302263560782970e-01,-2.985157322594064189e-01,2.104552501053310321e-01,2.479356331413962722e-01,1.991017267517370404e-01,9.600000000000025180e-02,6.660000000000001474e-01,2.738524879818806657e-01,2.722500005573070814e-01,5.080000000000000071e-01,6.660000000000001474e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.759833757866000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.985157322594064189e-01,2.104552501053310321e-01,-2.944547312516287429e-01,2.237498845126141833e-01,2.738524879818806657e-01,2.722500005573070814e-01,1.959999999999997300e-01,6.660000000000001474e-01,2.954535571721874643e-01,3.425919815482232345e-01,6.039999999999999813e-01,6.660000000000001474e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.759833758071000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000056e-01,1.000000000000000000e+00,-2.941257723177854722e-01,2.242816633465380127e-01,-2.817418251509204996e-01,2.373037732575573600e-01,2.972033387351835643e-01,3.454056261721588084e-01,5.000000000000000000e-01,6.660000000000001474e-01,3.630753981334015057e-01,4.143056786114146517e-01,7.079999999999999627e-01,6.460000000000001297e-01,-2.000000000000000042e-02,2.000000000000000111e-01
1.759833758277000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,-2.817418251509204996e-01,2.373037732575573600e-01,-2.651224920268229757e-01,2.471184667414721425e-01,3.630753981334015057e-01,4.143056786114146517e-01,6.039999999999999813e-01,6.460000000000001297e-01,4.514761062403032654e-01,4.662352737644029355e-01,7.079999999999999627e-01,5.959999999999999742e-01,-2.000000000000000042e-02,0.000000000000000000e+00
